shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,speedFromLastEvent,team,teamCode,time,timeDifferenceSinceChange,timeSinceFaceoff,timeSinceLastEvent,timeUntilNextEvent,xCord,xCordAdjusted,xFroze,xGoal,xPlayContinuedInZone,xPlayContinuedOutsideZone,xPlayStopped,xRebound,xShotWasOnGoal,yCord,yCordAdjusted
0,38,-58,58,-22,22,0,0,0,0,5,CHI,0,6.4,10,1,4,1,1,2,3,19,19,1,10,1,1,1,1,1,1,1,1,11,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,14,1,0,FAC,0,0,HOME,-69,69,-22,22,AWAYZONE,1,1,17,0,C,2025,R,Evan Rodrigues,8478542,10,1,11.8,14,1,10.33333333,1,1,2,3,14,14,1,11,1,1,10,14,1,10,1,1,35.36246189,35.36246189,0,0,0,38.01315562,0,1,0,0,0,0,0,0,WRIST,1,11,HOME,FLA,76,0,1,1,1,-58,58,0.308458,0.0175103,0.350448,0.253295,0.0355627,0.0347267,0.791506,-22,22
1,59,-33,33,-19,19,0,0,0,0,5,CHI,0,25.4,29,3,23,3,3,2,3,38,38,3,29,3,3,20,20,3,20,3,3,36.12478374,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,19,1,0,FAC,0,0,HOME,-69,69,-22,22,AWAYZONE,0,1,42,0,D,2025,L,Gustav Forsling,8478055,33,3,15,33,3,3,3,3,2,3,33,33,3,3,3,3,3,33,3,3,3,3,18.74134045,18.74134045,0,0,0,59.13543777,0,1,0,0,0,0,0,0,SLAP,1,12.04159458,HOME,FLA,95,0,3,3,1,-33,33,0.304403,0.03672,0.356975,0.235788,0.0253008,0.0408136,0.738728,-19,19
2,45,55,55,-29,29,0,0,0,0,5,CHI,0,24,42,8,12,8,8,2,3,42,42,8,12,8,8,12,42,8,12,8,8,124.1974235,MISS,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,0,1,22,0,0,FAC,0,0,HOME,-69,-69,-22,-22,HOMEZONE,0,1,98,0,C,2025,R,Connor Bedard,8484144,29,8,34.4,38,8,32,8,8,2,3,47,47,8,38,8,8,29,29,8,29,8,8,-40.46222749,40.46222749,0,0,0,44.68780594,0,0,0,1,0,0,0,0,SNAP,0,15.52467794,AWAY,CHI,104,0,8,8,2,55,55,0.306225,0.0160305,0.358237,0.263372,0.0266695,0.0294665,0.831215,-29,-29
3,63,35,35,33,33,0,0,0,0,5,CHI,0,16,16,16,16,16,16,2,3,16,16,16,16,16,16,16,16,16,16,16,16,64.66065264,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,0,1,25,0,0,FAC,0,0,AWAY,69,69,-22,-22,HOMEZONE,0,1,38,0,D,2025,L,Ethan Del Mastro,8482807,16,16,16,16,16,16,16,16,2,3,16,16,16,16,16,16,16,16,16,16,16,16,31.42956561,31.42956561,0,0,0,63.28506933,0,0,0,1,0,0,0,0,SNAP,1,4.04129079,AWAY,CHI,122,0,16,16,6,35,35,0.200191,0.0097353,0.439703,0.294931,0.0203982,0.0350417,0.659939,33,33
4,68,30,30,-34,34,0,0,0,0,5,CHI,0,20.8,13,13,26,13,13,2,3,33,13,13,33,13,13,13,13,13,16,13,13,45.3431362,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,0,1,31,0,0,FAC,0,0,AWAY,0,0,0,0,HOMEZONE,0,1,6,0,D,2025,R,Sam Rinzel,8483506,24,13,17.6,24.5,13,13,13,13,2,3,25,25,13,13,13,13,13,24,13,13,13,13,-29.95360817,29.95360817,0,0,0,68.09552114,0,0,0,0,1,0,0,0,SNAP,1,3.487933553,AWAY,CHI,172,0,13,13,19,30,30,0.21936,0.00997734,0.42243,0.307621,0.0208373,0.0197743,0.681355,-34,-34
5,42,-58,58,28,28,7.4,0,0,0,5,CHI,0,14.2,14,14,14.33333333,14.33333333,14.2,2,3,20,14,14,20,20,20,11,14,14,11,11,11,50.03998401,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,35,1,0,BLOCK,0,0,HOME,-56,56,-22,22,AWAYZONE,0,1,5,0,D,2025,R,Aaron Ekblad,8477932,5,5,21.6,11.5,11.5,28.33333333,28.33333333,21.6,2,3,31,18,18,31,31,31,5,5,5,23,23,5,-42.08916217,42.08916217,0,0,0,41.77319715,0,0,0,1,0,0,0,0,SLAP,1,16.67999467,HOME,FLA,214,-6,55,3,3,-58,58,0.33218,0.0492175,0.30062,0.2458,0.0338666,0.0383158,0.767188,28,-28
6,44,-47,47,-12,12,0,0,0,0,5,CHI,0,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,40.49691346,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,38,1,0,FAC,0,0,HOME,-69,69,22,-22,AWAYZONE,0,1,77,0,D,2025,L,Niko Mikkola,8478859,1,1,19.8,1,1,32.33333333,1,1,2,3,35,1,1,35,1,1,1,1,1,27,1,1,15.9453959,15.9453959,0,0,0,43.68065934,0,0,0,0,1,0,0,0,WRIST,0,40.49691346,HOME,FLA,218,0,1,1,17,-47,47,0.233335,0.0164118,0.376547,0.284262,0.0386322,0.0508124,0.801125,-12,12
7,13,-79,79,9,9,-3.6,0,0,0,5,CHI,0,29,29,29,29,29,29,2,3,29,29,29,29,29,29,29,29,29,29,29,29,164.0274367,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,40,1,0,BLOCK,0,0,AWAY,85,-85,6,-6,AWAYZONE,1,1,9,0,C,2025,L,Sam Bennett,8477935,63,29,44.2,20,20,60.33333333,29,25.4,2,3,63,20,20,63,29,29,20,20,20,55,29,20,-41.9872125,41.9872125,41.9872125,3.817019318,0,13.45362405,0,0,0,0,1,0,0,0,WRIST,1,14.91158516,HOME,FLA,246,-9,29,11,35,-79,79,0.110439,0.0860998,0.400098,0.289602,0.0273159,0.0864447,0.81067,9,-9
8,8.062257748,-82,82,4,4,-11,0,0,0,5,CHI,0,37.6,64,64,20,20,37.6,2,3,64,64,64,20,20,64,20,64,64,20,20,20,5.830951895,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,41,1,0,SHOT,-41.9872125,13.45362405,HOME,-79,79,9,-9,AWAYZONE,1,1,15,9,,2025,L,Anton Lundell,8482113,20,20,26.6,36.5,36.5,20,20,26.6,2,3,37,37,37,20,20,37,20,36,36,20,20,20,-29.7448813,29.7448813,12.2423312,0.349780891,0,8.062257748,1,0,0,0,0,0,0,0,TIP,0,0.166598626,HOME,FLA,281,0,64,35,1,-82,82,0.130701,0.131705,0.368974,0.279561,0.0244845,0.064574,0.74449,4,-4
9,6.08276253,-88,88,6,6,-8.8,0,0,0,5,CHI,0,37,65,65,18.33333333,18.33333333,37,2,3,65,65,65,25,25,65,12,65,65,12,12,12,7.280109889,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,0,1,42,1,0,MISS,-29.7448813,8.062257748,HOME,-82,82,4,-4,AWAYZONE,0,1,13,15,C,2025,R,Sam Reinhart,8477933,24,24,28.2,37.5,37.5,22,22,28.2,2,3,38,38,38,24,24,38,21,37,37,21,21,21,-80.53767779,80.53767779,50.7927965,50.7927965,0,6.08276253,0,0,0,1,0,0,1,0,WRIST,1,7.280109889,HOME,FLA,282,9,65,1,6,-89,88,0.225088,0.231689,0.255184,0.146837,0.0420337,0.099168,0.817503,6,-6
